CO_IES;NO_CINE_ROTULO;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;Engenharia de materiais;63;23;40;0;61;2;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Engenharia de produção;51;9;42;1;50;0;0;0;0;0;6;0;0;0;0;1;38;6;32;0;29;8;0;0;0;0;32;0;2;1;0;0;2013
55;Engenharia elétrica;57;5;52;0;55;2;0;0;0;0;5;0;0;0;0;1;27;2;25;0;17;10;0;0;0;0;17;0;1;0;0;1;2013
55;Engenharia elétrica;60;7;53;2;56;2;0;0;0;0;7;0;1;1;0;0;36;5;31;0;14;21;0;0;0;0;20;0;0;0;0;0;2013
55;Engenharia mecatrônica;55;4;51;1;52;1;1;0;0;0;4;0;0;0;0;0;30;4;26;0;26;3;0;0;0;0;20;0;4;2;1;0;2013
55;Engenharia mecânica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;2013
55;Engenharia mecânica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;4;0;0;0;0;3;0;1;0;0;1;2013
55;Engenharia mecânica;8;1;7;0;8;0;0;0;0;0;5;0;1;0;0;0;20;2;18;0;11;7;0;0;0;0;12;1;1;0;0;0;2013
55;Engenharia mecânica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;3;1;0;0;0;0;4;0;0;0;0;0;2013
55;Física;40;10;30;0;37;3;0;0;0;0;11;0;0;0;0;0;10;0;10;0;8;2;0;0;0;0;6;0;0;0;0;0;2013
55;Física;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2013
55;Física aplicada;32;3;29;0;29;2;1;0;0;0;3;0;0;0;0;0;6;1;5;0;4;2;0;0;0;0;4;0;0;0;0;0;2013
55;Sistemas de informação;46;3;43;0;32;8;3;1;1;0;10;1;2;1;0;0;26;5;21;0;14;8;0;0;0;0;17;2;2;0;0;0;2013
55;Matemática formação de professor;3;0;3;0;1;1;0;0;0;0;3;0;0;0;0;0;6;4;2;0;2;3;0;0;0;0;3;0;1;0;0;0;2013
55;Matemática;5;2;3;0;4;1;0;0;0;0;3;0;0;0;0;0;5;1;4;0;4;1;0;0;0;0;3;0;1;0;0;0;2013
55;Matemática aplicada e computacional;23;9;14;0;22;1;0;0;0;0;2;0;1;0;0;0;9;2;7;0;6;2;0;0;0;0;5;0;0;2;0;0;2013
55;Química industrial e tecnológica;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;13;7;6;0;6;6;0;0;0;0;8;0;0;0;0;0;2013
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;6;0;6;5;0;0;0;0;5;0;2;1;0;0;2013
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;10;0;7;4;0;0;0;0;7;0;1;0;0;0;2013
55;Química;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;0;0;3;0;0;0;0;0;2013
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;5;1;0;0;0;0;4;0;1;1;0;0;2013
55;ABI Ciências naturais, matemática e estatística;65;33;32;0;57;6;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;59;36;23;1;53;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Engenharia, produção e construção;661;153;508;6;642;9;2;0;0;0;23;3;4;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;33;6;27;0;17;9;1;1;0;0;17;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;21;5;16;0;16;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;40;7;33;0;20;12;3;0;0;0;4;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;47;25;22;0;45;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Astronomia;16;2;14;0;13;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2013
